date (UTC),description,moneyIn (Satoshi),moneyOut (Satoshi),tx hash,current balance (Satoshi)
2022-11-18T12:09:57Z,PAYMENT RECEIVED,654958387,0,71113d6566c1054fcd320a3526a1f2a352310bda7ec977dc6b40f0f115167056,17584747631
2022-11-18T12:09:22Z,PAYMENT RECEIVED,676455986,0,9a198579c981d43c9df4712c185f7ce87ea776ce51b564c594658b8eecb8c88f,16929789244
2022-11-18T11:41:37Z,PAYMENT RECEIVED,656155598,0,5e845fc9ad0fcd378ac934ed58812cf8d0525986c5dbf9b90ff8d76d30fcb2ab,16253333258
2022-11-18T11:23:22Z,PAYMENT RECEIVED,644653552,0,49fc7415622c3549a1e40506a43ac35d3506d8c18fda611824a43d69b82b04cb,15597177660
2022-11-18T10:57:52Z,PAYMENT SENT,0,-647367067,99ffe28b901b230dfbb73d3eff265655e2656c4ec58c133c4138b033aabd788e,14952524108
2022-11-18T10:26:29Z,PAYMENT RECEIVED,648770938,0,73258f77316d43bd98612834c900844ffb32285d124b852df75cf0b1cdbebfc2,15599891175
2022-11-18T09:54:30Z,PAYMENT SENT,0,-1970133227,6b24365a0c4a6efd414a0be23fba71d4a76a288524938b1814d55b57a7fc03a1,14951120237
2022-11-18T09:24:03Z,PAYMENT RECEIVED,648046788,0,822e4a2cd331e3b3cc511b117f0a4c0c952fa65a8c05a7e51f52bda85faca796,16921253464
2022-11-18T09:14:24Z,PAYMENT RECEIVED,665740324,0,162e8c52d4e656223458f5b2965d798deb0eb8e907aef634e55c90d40a0c8757,16273206676
2022-11-18T09:02:30Z,PAYMENT RECEIVED,673754102,0,809bce8162cb43b707236993e3611d327b020a2f0d2593a6cbb33d48b6f538e1,15607466352
2022-11-18T06:53:35Z,PAYMENT RECEIVED,664467107,0,25d39069bcd350aa9128fb630a439705b37c31900d0411cf943dc0e0b25f3d13,15572489862
2022-11-18T06:53:35Z,PAYMENT SENT,0,-638777612,356cdc2aeca5f4f019225d75efe210b8b9fc41b22a5d33115cade51d28c33438,14933712250
2022-11-18T06:30:26Z,PAYMENT RECEIVED,644587156,0,6067849b4d4676d78e1447fd6d0ebd725c642a1af923734b8513250c088aeae0,14908022755
2022-11-18T05:36:49Z,PAYMENT RECEIVED,650745074,0,6a9e32b5068f06800ddbc373a13f453cf2c7e74b3ce45c865c7ed25e4bc96b49,14263435599
2022-11-18T03:38:13Z,PAYMENT RECEIVED,645869487,0,96a6fdb5937d250aaa4a52d12a1f2691c65d6b9a3d650618c6d8c5ea6a57431a,13612690525
2022-11-18T02:23:57Z,PAYMENT RECEIVED,643633180,0,de7a4feef965505836eca0408808d88f8866ced4f3ebd825aecac48c82b6c6b2,12966821038
2022-11-18T02:05:39Z,PAYMENT SENT,0,-10321883632,1bee420756a3bc24a37efeab19b53992bcd894add983d3e154cdce0628f611e8,12323187858
2022-11-18T01:55:45Z,PAYMENT RECEIVED,656320627,0,f28b25396a2ace3b0178864d30529d0e0ab08254c7e2e9957ce9a5077f94af05,22645071490
2022-11-17T22:45:12Z,PAYMENT RECEIVED,666755221,0,baf565cfb8cf4a155c1016713a9556d3aa0e9f03d2635b1e326cbaa105fcd5fb,21988750863
2022-11-17T22:28:37Z,PAYMENT RECEIVED,668342438,0,5517feb975120a8f90780c3fb28d3b91d8851d46695c5383a84e3c1eeedfb2ae,21321995642
2022-11-17T20:20:44Z,PAYMENT RECEIVED,666717443,0,21c9a87b4e9cd859ba71b451b31a5eb67359bebfc0c289c67c8fdc0de9f93a2b,20653653204
2022-11-17T17:35:57Z,PAYMENT SENT,0,-7195802595,cc2bc04987d039b506cc52222fa8c41a4c8e10e1e84ae9c3195a185654095349,19986935761
2022-11-17T14:09:34Z,PAYMENT RECEIVED,657479668,0,61e3da3b120c4f091d5c18b2058327ebfba2d6a295b302d90592dca29ca53342,27182738356
2022-11-17T13:47:20Z,PAYMENT RECEIVED,639473130,0,3d5fa78b3e2bdee445c819544b9a37cf99238dd09aa633456e189b13127a3e40,26525258688
2022-11-17T13:36:31Z,PAYMENT RECEIVED,642560661,0,7e58f49975c315cbd9aa9e0270f5d29cd3feb814d9932ae3c11bd81c91f577dd,25885785558
2022-11-17T13:09:20Z,PAYMENT RECEIVED,642436812,0,a5f501cdb59e7d44d285272ca9f511a8f97b0a8df287fbe325ae5a8bc7f97b10,25243224897
